cityName,airportCode,countryCode,longitude,NoTraffic,airportName,countryName,Closed,latitude,departures,previous_week_dep_percent_change,reference_week_dep_percent_change,date
Szczecin,EPSC,POL,14.90222222,TRUE,Goleniow,Poland,FALSE,53.58472222,18,,0,12/04/2020
Jerez,LEJR,ESP,-6.06,FALSE,Jerez,Spain,FALSE,36.74472222,1,0,-97.77777778,12/04/2020
Helsinki,EFHK,FIN,24.96333333,TRUE,Vantaa,Finland,FALSE,60.31722222,46,-43.90243902,-96.23567921,12/04/2020
Angeles City,RPLC,PHL,120.5603222,FALSE,Diosdado Macapagal Intl,Philippines,FALSE,15.18598889,2,0,-98.16513761,12/04/2020
Rosario,SAAR,ARG,-60.78444444,TRUE,Islas Malvinas,Argentina,FALSE,-32.90361111,19,,0,12/04/2020
Bodo,ENBO,NOR,14.36527778,FALSE,Bodo,Norway,FALSE,67.26916667,3,,0,12/04/2020
Port Vila,NVVV,VUT,168.3197944,FALSE,Port Vila,Vanuatu,FALSE,-17.699325,1,0,-96.77419355,12/04/2020
Davao,RPMD,PHL,125.6457778,TRUE,Bangoy Intl,Philippines,FALSE,7.125522222,13,,0,12/04/2020
Liberia,MRLB,CRI,-85.54554444,FALSE,Daniel Oduber Quiros Intl,Costa Rica,TRUE,10.59301389,2,0,-95.91836735,12/04/2020
Salzburg,LOWS,AUT,13.00333333,FALSE,Salzburg,Austria,FALSE,47.79444444,3,0,-96.05263158,12/04/2020
Nurnberg,EDDN,DEU,11.07800833,TRUE,Nurnberg,Germany,FALSE,49.4987,275,,0,12/04/2020
Phoenix,KPHX,USA,-112.0115833,TRUE,Phoenix Sky Harbor Intl,USA,FALSE,33.43427778,30,-53.125,-80.51948052,12/04/2020
Dallas-Ft Worth,KDFW,USA,-97.03769444,TRUE,Dallas-Ft Worth Intl,USA,FALSE,32.89723056,122,-43.25581395,-82.52148997,12/04/2020
Chicago/Rockford,KRFD,USA,-89.09722222,FALSE,Chicago/Rockford Intl,USA,FALSE,42.19536111,1,,0,12/04/2020
Southampton,EGHI,GBR,-1.356666667,FALSE,Southampton,UK,FALSE,50.95027778,6,,0,12/04/2020
Santiago,LEST,ESP,-8.415277778,TRUE,Santiago,Spain,FALSE,42.89638889,75,,0,12/04/2020
Beijing,ZBAA,CHN,116.5983333,TRUE,Beijing Capital,China,FALSE,40.07333333,45,-48.86363636,-96.35332253,12/04/2020
Frankfurt-Hahn,EDFH,DEU,7.263891667,TRUE,Frankfurt-Hahn,Germany,FALSE,49.94867222,9,-25,-90.10989011,12/04/2020
Vaasa,EFVA,FIN,21.76416667,TRUE,Vaasa,Finland,FALSE,63.04527778,23,,0,12/04/2020
Muscat,OOMS,OMN,58.28179722,FALSE,Muscat Intl,Oman,FALSE,23.59285833,2,0,-99.78925184,12/04/2020
Long Beach,KLGB,USA,-118.1517306,FALSE,Long Beach/Daugherty Field,USA,FALSE,33.81775278,1,0,-50,12/04/2020
Christmas I,PLCH,KIR,-157.3496417,FALSE,Cassidy Intl,Kiribati,FALSE,1.986211111,2,,0,12/04/2020
Berlin,EDDB,DEU,13.50067222,FALSE,Schonefeld,Germany,FALSE,52.36224722,4,-66.66666667,-99.42528736,12/04/2020
Ireland West,EIKN,IRL,-8.818611111,TRUE,Knock,Ireland,TRUE,53.91027778,52,,0,12/04/2020
Austin,KAUS,USA,-97.66988889,FALSE,Austin-Bergstrom Intl,USA,FALSE,30.19452778,6,-14.28571429,-88.88888889,12/04/2020
Rzeszow,EPRZ,POL,22.01888889,TRUE,Jasionka,Poland,FALSE,50.11,38,,0,12/04/2020
Albany,KALB,USA,-73.80197222,FALSE,Albany Intl,USA,FALSE,42.74911111,1,0,0,12/04/2020
Veracruz,MMVR,MEX,-96.18736389,FALSE,Gen Heriberto Jara Intl,Mexico,FALSE,19.14578056,3,0,-70,12/04/2020
Perm,USPP,RUS,56.02138889,TRUE,Bolshoe Savino,Russia,FALSE,57.91444444,12,,0,12/04/2020
Jaipur,VIJP,IND,75.8025,FALSE,Jaipur,India,FALSE,26.82416667,1,0,-96.77419355,12/04/2020
Irkutsk,UIII,RUS,104.3947222,FALSE,Irkutsk,Russia,FALSE,52.26722222,1,-50,-97.2972973,12/04/2020
Livingstone,FLHN,ZMB,25.817075,TRUE,Harry Mwanga Nkumbula Intl,Zambia,FALSE,-17.82135833,11,,0,12/04/2020
Stockholm,ESOW,SWE,16.63361111,FALSE,Vaesteraas,Sweden,FALSE,59.58944444,7,,0,12/04/2020
Pittsburgh,KPIT,USA,-80.23269444,TRUE,Pittsburgh Intl,USA,FALSE,40.49141667,45,,0,12/04/2020
Morelia,MMMM,MEX,-101.025375,TRUE,Gen Francisco J Mujica Intl,Mexico,FALSE,19.84986944,9,-47.05882353,-75.67567568,12/04/2020
Kabul,OAKB,AFG,69.21235556,FALSE,Kabul Intl,Afghanistan,FALSE,34.56584722,1,-80,-98.48484848,12/04/2020
Maceio,SBMO,BRA,-35.78361111,FALSE,Zumbi Dos Palmares,Brazil,FALSE,-9.517222222,1,,0,12/04/2020
Salalah,OOSA,OMN,54.09129722,TRUE,Salalah,Oman,FALSE,17.03872778,28,,0,12/04/2020
San Diego,KSAN,USA,-117.1896667,TRUE,San Diego Intl,USA,FALSE,32.73355556,8,-55.55555556,-90.24390244,12/04/2020
Georgetown,SYCJ,GUY,-58.25435278,FALSE,Cheddi Jagan Intl,Guyana,FALSE,6.498927778,3,0,-94.54545455,12/04/2020
Bedford,KBED,USA,-71.289,FALSE,Hanscom,USA,FALSE,42.46994444,3,0,-85.71428571,12/04/2020
Pointe-A-Pitre,TFFR,GLP,-61.52583333,FALSE,Le Raizet,Guadeloupe,FALSE,16.26416667,6,-14.28571429,-92.20779221,12/04/2020
Seville,LEZL,ESP,-5.898888889,FALSE,Seville,Spain,FALSE,37.41805556,5,-44.44444444,-98.33887043,12/04/2020
Nador,GMMW,MAR,-3.027777778,TRUE,El Aroui Intl,Morocco,FALSE,34.98944444,50,,0,12/04/2020
Tirana,LATI,ALB,19.72055556,TRUE,Tirana,Albania,FALSE,41.41472222,127,,0,12/04/2020
